Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.02.05_15.07.52,-8.655394,52.138499,23,B,4,LTE,-93,-11,12.0,6,-75,56602,879,D,-100.0,-19.0,-8.65227,52.138878,217.33000000000001
2018.02.05_15.07.53,-8.655394,52.138499,23,B,4,LTE,-93,-11,12.0,7,-78,37253,1780,D,-100.0,-19.0,-8.65227,52.138878,217.33000000000001
2018.02.05_15.07.58,-8.655394,52.138499,23,B,4,LTE,-96,-12,9.0,9,-79,18655,334,D,-104.0,-19.0,-8.65227,52.138878,217.33000000000001
2018.02.05_15.07.59,-8.655394,52.138499,23,B,4,LTE,-96,-12,9.0,8,-81,27740,473,D,-104.0,-19.0,-8.65227,52.138878,217.33000000000001
2018.02.05_15.08.03,-8.655394,52.138499,23,B,4,LTE,-98,-12,9.0,10,-81,27122,490,D,-105.0,-18.0,-8.65227,52.138878,217.33000000000001
2018.02.05_15.08.04,-8.655394,52.138499,23,B,4,LTE,-98,-12,9.0,10,-75,21920,393,D,-105.0,-18.0,-8.65227,52.138878,217.33000000000001
2018.02.05_15.08.05,-8.655394,52.138499,23,B,4,LTE,-91,-12,6.0,10,-75,16395,294,D,-97.0,-18.0,-8.65227,52.138878,217.33000000000001
2018.02.05_15.08.06,-8.655394,52.138499,23,B,4,LTE,-91,-12,6.0,15,-86,31639,556,D,-97.0,-18.0,-8.65227,52.138878,217.33000000000001
2018.02.05_15.08.07,-8.655394,52.138499,23,B,4,LTE,-109,-13,8.0,9,-92,24906,459,D,-109.0,-17.0,-8.65227,52.138878,217.33000000000001
2018.02.05_15.08.08,-8.655394,52.138499,23,B,4,LTE,-109,-13,8.0,9,-92,22300,406,D,-109.0,-17.0,-8.65227,52.138878,217.33000000000001
2018.02.05_15.08.09,-8.655394,52.138499,23,B,4,LTE,-109,-13,5.0,9,-92,10367,244,D,-113.0,-16.0,-8.65227,52.138878,217.33000000000001
2018.02.05_15.08.10,-8.655394,52.138499,23,B,4,LTE,-109,-13,5.0,6,-90,8220,471,D,-113.0,-16.0,-8.65227,52.138878,217.33000000000001
